Record Type,Record ID,Feature,Journey,Source Path,Source Line,Layer,Contract or Storage,Visible State,Native Status,Native Target,Owner,Phase,Acceptance,Next Action,Evidence,Notes
Journey,JRN-001,Auth,AuthWizardScreen,lib/features/auth/screens/auth_wizard_screen.dart,13,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation;Private/Blocked,Partial — canonical extension required,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:90,AUTH-02,AUTH-02,AuthWizardScreen preserves the mapped Flutter flow and visible states.,Validate AuthWizardScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/auth_wizard_screen.dart:13,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-001
Journey,JRN-002,Auth,BiometricLoginScreen,lib/features/auth/screens/biometric_login_screen.dart,7,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry,Missing — transferred,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:90 — no dedicated destination,AUTH-02,AUTH-02,BiometricLoginScreen preserves the mapped Flutter flow and visible states.,Validate BiometricLoginScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/biometric_login_screen.dart:7,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-002
Journey,JRN-003,Auth,MandatoryPasswordScreen,lib/features/auth/screens/mandatory_password_screen.dart,9,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Partial — canonical extension required,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:240,AUTH-02,AUTH-02,MandatoryPasswordScreen preserves the mapped Flutter flow and visible states.,Validate MandatoryPasswordScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/mandatory_password_screen.dart:9,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-003
Journey,JRN-004,Auth,PasswordRecoveryConfirmScreen,lib/features/auth/screens/password_recovery_confirm_screen.dart,9,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:90 — no dedicated destination,AUTH-02,AUTH-02,PasswordRecoveryConfirmScreen preserves the mapped Flutter flow and visible states.,Validate PasswordRecoveryConfirmScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/password_recovery_confirm_screen.dart:9,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-004
Journey,JRN-005,Auth,PasswordResetCodeScreen,lib/features/auth/screens/password_reset_code_screen.dart,10,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:90 — no dedicated destination,AUTH-02,AUTH-02,PasswordResetCodeScreen preserves the mapped Flutter flow and visible states.,Validate PasswordResetCodeScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/password_reset_code_screen.dart:10,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-005
Journey,JRN-006,Auth,PasswordResetSmsScreen,lib/features/auth/screens/password_reset_sms_screen.dart,11,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:90 — no dedicated destination,AUTH-02,AUTH-02,PasswordResetSmsScreen preserves the mapped Flutter flow and visible states.,Validate PasswordResetSmsScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/password_reset_sms_screen.dart:11,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-006
Journey,JRN-007,Auth,PasswordSetScreen,lib/features/auth/screens/password_set_screen.dart,8,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Partial — canonical extension required,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:240,AUTH-02,AUTH-02,PasswordSetScreen preserves the mapped Flutter flow and visible states.,Validate PasswordSetScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/password_set_screen.dart:8,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-007
Journey,JRN-008,Auth,ResetPasswordScreen,lib/features/auth/screens/reset_password_screen.dart,7,User journey,/v1/auth/*; SecureStorage session,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/auth/src/main/java/ir/coffevista/vista_native/features/auth/AuthScreen.kt:90 — no dedicated destination,AUTH-02,AUTH-02,ResetPasswordScreen preserves the mapped Flutter flow and visible states.,Validate ResetPasswordScreen in its assigned implementation/runtime phase.,lib/features/auth/screens/reset_password_screen.dart:7,State=lib/features/auth/providers/auth_controller.dart:210; Repository/Service=lib/features/auth/data/auth_repository.dart:375; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-008
Journey,JRN-009,Chat,ArchivedConversationsScreen,lib/features/chat/screens/ArchivedConversationsScreen.dart,14,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,ArchivedConversationsScreen preserves the mapped Flutter flow and visible states.,Validate ArchivedConversationsScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/ArchivedConversationsScreen.dart:14,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-009
Journey,JRN-010,Chat,ChatConversationsScreen,lib/features/chat/screens/ChatConversationsScreen.dart,37,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation;Private/Blocked,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,ChatConversationsScreen preserves the mapped Flutter flow and visible states.,Validate ChatConversationsScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/ChatConversationsScreen.dart:37,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-010
