File ID,Path,Category,Feature/Journey,Layer,Key symbols,Contract/Storage,Tests,Status,Notes
F-0001,lib/app/app_initialization.dart,App,startup,App/Startup,lib/app/app_initialization.dart:64 class AppInitialization {,Isar;SecureStorage;HTTP;Realtime;Notification;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0002,lib/app/app_runner.dart,App,startup,App/Startup,lib/app/app_runner.dart:102 class AppRunner {,SecureStorage;Realtime;Notification;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0003,lib/core/app_config.dart,Core,shared,Utility/Infrastructure,lib/core/app_config.dart:7 library;,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0004,lib/core/data/cache/cache_repository.dart,Core,settings,Repository,lib/core/data/cache/cache_repository.dart:10 class CacheRepository {,Isar,test/cache_test.dart,Classified,Verified fact: classified from current workspace source
F-0005,lib/core/security/input_policy.dart,Core,shared,Utility/Infrastructure,lib/core/security/input_policy.dart:1 class InputPolicyResult {,N/A,test/input_policy_test.dart,Classified,Verified fact: classified from current workspace source
F-0006,lib/core/services/media_upload_service.dart,Core,posts,Service,lib/core/services/media_upload_service.dart:14 class MediaUploadService {,SecureStorage;HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0007,lib/core/theme/app_theme.dart,Core,settings,Design System,lib/core/theme/app_theme.dart:9 class AppSpacing {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0008,lib/core/ui/vista_card.dart,Core,shared,Utility/Infrastructure,lib/core/ui/vista_card.dart:9 class VistaCard extends StatelessWidget {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0009,lib/core/ui/vista_glass.dart,Core,shared,Utility/Infrastructure,lib/core/ui/vista_glass.dart:14 class VistaGlass extends StatelessWidget {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0010,lib/core/ui/vista_gradient_button.dart,Core,shared,Utility/Infrastructure,lib/core/ui/vista_gradient_button.dart:10 class VistaGradientButton extends StatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0011,lib/core/updater/in_app_updater.dart,Core,shared,Utility/Infrastructure,lib/core/updater/in_app_updater.dart:10 class UpdateInfo {,HTTP;File/Media;PlatformChannel,No direct test located,Classified,Verified fact: classified from current workspace source
F-0012,lib/core/updater/update_banner.dart,Core,shared,Utility/Infrastructure,lib/core/updater/update_banner.dart:4 class UpdateBanner extends StatefulWidget {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0013,lib/DB/advanced_settings_service.dart,Storage,settings,Storage,lib/DB/advanced_settings_service.dart:9 class AdvancedSettingsService {,SharedPreferences;HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0014,lib/DB/database_file_utils.dart,Storage,storage,Storage,lib/DB/database_file_utils.dart:11 Future<File> getMessageCacheDbFile() async {,File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0015,lib/DB/entities/app_settings_entity.dart,Storage,settings,Storage,lib/DB/entities/app_settings_entity.dart:6 class AppSettingsEntity {,Isar,No direct test located,Classified,Verified fact: classified from current workspace source
F-0016,lib/DB/entities/app_settings_entity.g.dart,Generated,settings,Storage,lib/DB/entities/app_settings_entity.g.dart:12 extension GetAppSettingsEntityCollection on Isar {,Isar,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0017,lib/DB/entities/deletion_task_entity.dart,Storage,storage,Storage,lib/DB/entities/deletion_task_entity.dart:6 class DeletionTaskEntity {,Isar,No direct test located,Classified,Verified fact: classified from current workspace source
F-0018,lib/DB/entities/deletion_task_entity.g.dart,Generated,storage,Storage,lib/DB/entities/deletion_task_entity.g.dart:12 extension GetDeletionTaskEntityCollection on Isar {,Isar,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0019,lib/DB/entities/recent_search_entity.dart,Storage,search,Storage,lib/DB/entities/recent_search_entity.dart:6 class RecentSearchEntity {,Isar,No direct test located,Classified,Verified fact: classified from current workspace source
F-0020,lib/DB/entities/recent_search_entity.g.dart,Generated,search,Storage,lib/DB/entities/recent_search_entity.g.dart:12 extension GetRecentSearchEntityCollection on Isar {,Isar,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0021,lib/DB/entities/retry_queue_entity.dart,Storage,storage,Storage,lib/DB/entities/retry_queue_entity.dart:8 class RetryQueueEntity {,Isar,No direct test located,Classified,Verified fact: classified from current workspace source
F-0022,lib/DB/entities/retry_queue_entity.g.dart,Generated,storage,Storage,lib/DB/entities/retry_queue_entity.g.dart:12 extension GetRetryQueueEntityCollection on Isar {,Isar,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0023,lib/DB/high_performance_cache_system.dart,Storage,settings,Storage,lib/DB/high_performance_cache_system.dart:9 class HighPerformanceCacheSystem {,Isar;Realtime,test/cache_test.dart,Classified,Verified fact: classified from current workspace source
F-0024,lib/DB/isar_database_manager.dart,Storage,storage,Storage,lib/DB/isar_database_manager.dart:20 class IsarOpenParams {,Isar;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0025,lib/DB/profile_cache_service.dart,Storage,profile,Storage,lib/DB/profile_cache_service.dart:19 class ProfileCacheService {,Isar;SharedPreferences;SecureStorage;HTTP;File/Media,test/cache_test.dart,Classified,Verified fact: classified from current workspace source
F-0026,lib/DB/settings_cache_service.dart,Storage,settings,Storage,lib/DB/settings_cache_service.dart:13 class SettingsCacheService {,SharedPreferences;SecureStorage;HTTP,test/cache_test.dart,Classified,Verified fact: classified from current workspace source
F-0027,lib/DB/unified_message_cache_service.dart,Storage,chat,Storage,lib/DB/unified_message_cache_service.dart:7 class UnifiedMessageCacheService {,Isar;Realtime,test/cache_test.dart,Classified,Verified fact: classified from current workspace source
F-0028,lib/features/auth/data/auth_repository.dart,Feature,auth,Repository,lib/features/auth/data/auth_repository.dart:13 class AuthUserResponse {,HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0029,lib/features/auth/domain/auth_exceptions.dart,Feature,auth,Model/Domain,lib/features/auth/domain/auth_exceptions.dart:3 class NetworkAuthException implements Exception {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0030,lib/features/auth/providers/auth_controller.dart,Feature,auth,State,lib/features/auth/providers/auth_controller.dart:17 class TokenStorage {,SharedPreferences;SecureStorage;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0031,lib/features/auth/screens/auth_wizard_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/auth_wizard_screen.dart:13 class AuthWizardScreen extends ConsumerStatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0032,lib/features/auth/screens/biometric_login_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/biometric_login_screen.dart:7 class BiometricLoginScreen extends ConsumerStatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
